neighborhood_municipality,indv_tested,cases,deaths,update_date
Stowe,1756,413,7,2021-03-29
Strip District (Pittsburgh),878,114,0,2021-03-29
Summer Hill (Pittsburgh),305,75,1,2021-03-29
Swisshelm Park (Pittsburgh),484,49,0,2021-03-29
Swissvale,2978,467,5,2021-03-29
Tarentum,1351,297,1,2021-03-29
Terrace Village (Pittsburgh),634,122,1,2021-03-29
Thornburg,170,35,0,2021-03-29
Trafford,10,4,0,2021-03-29
Troy Hill (Pittsburgh),962,138,2,2021-03-29
Turtle Creek,1619,348,8,2021-03-29
Undefined,20410,1600,27,2021-03-29
Undefined (Pittsburgh),19,3,0,2021-03-29
Upper Hill (Pittsburgh),655,97,4,2021-03-29
Upper Lawrenceville (Pittsburgh),1050,123,1,2021-03-29
Upper Saint Clair,7244,1326,20,2021-03-29
Verona,763,140,2,2021-03-29
Versailles,505,124,5,2021-03-29
Wall,133,37,3,2021-03-29
West Deer,3668,873,25,2021-03-29
West Elizabeth,108,34,0,2021-03-29
West End (Pittsburgh),79,12,0,2021-03-29
West Homestead,617,133,1,2021-03-29
West Mifflin,6445,1499,11,2021-03-29
West Oakland (Pittsburgh),1085,185,1,2021-03-29
West View,1914,388,2,2021-03-29
Westwood (Pittsburgh),959,254,1,2021-03-29
Whitaker,369,102,1,2021-03-29
White Oak,2527,580,16,2021-03-29
Whitehall,5248,1521,46,2021-03-29
Wilkins,2069,413,6,2021-03-29
Wilkinsburg,5475,884,28,2021-03-29
Wilmerding,530,117,1,2021-03-29
Windgap (Pittsburgh),389,76,1,2021-03-29
